season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2023,16340,2,1.0,02/17/2023,2390288,home,466,Nevada,5,3,34.0,27,7,0,0,0,4,2,0,0,1.0,0.5
2023,16340,2,1.0,02/18/2023,2390526,home,466,Nevada,5,4,32.0,27,5,0,0,0,0,0,3,0,1.0,
2023,16340,2,1.0,02/19/2023,2390845,home,466,Nevada,7,9,35.0,27,8,0,0,0,0,0,0,0,1.0,
2023,16340,2,1.0,02/20/2023,2391069,home,466,Nevada,7,3,32.0,27,5,0,0,0,0,0,0,0,1.0,
2023,16340,2,1.0,02/22/2023,2391249,neutral,522,Oklahoma,4,3,43.0,30,12,1,0,0,10,2,3,0,0.9767441860465116,0.2
2023,16340,2,1.0,02/25/2023,2391650,home,654,Southeast Mo. St.,3,0,25.0,21,4,0,0,0,2,0,3,0,1.0,0.0
2023,16340,2,1.0,02/25/2023,2408039,home,654,Southeast Mo. St.,2,23,21.0,15,6,0,0,0,0,0,0,0,1.0,
2023,16340,2,1.0,02/26/2023,2391311,home,654,Southeast Mo. St.,5,4,39.0,27,12,0,0,1,0,0,3,0,1.0,
2023,16340,2,1.0,02/26/2023,2392033,home,654,Southeast Mo. St.,7,4,30.0,21,9,0,0,0,2,0,6,0,1.0,0.0
2023,16340,2,1.0,03/03/2023,2392647,home,287,Houston Christian,13,3,34.0,24,10,0,0,0,0,0,0,0,1.0,
2023,16340,2,1.0,03/04/2023,2392991,home,287,Houston Christian,12,6,34.0,22,11,1,0,2,0,1,6,0,0.9705882352941176,inf
2023,16340,2,1.0,03/04/2023,2408158,home,287,Houston Christian,9,5,30.0,19,11,0,0,0,2,2,6,0,1.0,1.0
2023,16340,2,1.0,03/05/2023,2393368,home,287,Houston Christian,7,8,32.0,25,7,0,0,0,0,1,0,0,1.0,inf
2023,16340,2,1.0,03/10/2023,2394226,home,676,SFA,7,4,32.0,25,7,0,0,1,0,0,3,0,1.0,
2023,16340,2,1.0,03/11/2023,2394538,home,676,SFA,11,6,32.0,25,7,0,0,0,2,0,3,0,1.0,0.0
2023,16340,2,1.0,03/12/2023,2394948,home,676,SFA,9,6,41.0,27,13,1,0,0,0,0,6,0,0.975609756097561,
2023,16340,2,1.0,03/15/2023,2395673,home,527,Oral Roberts,10,8,38.0,26,11,1,0,0,6,0,5,0,0.9736842105263158,0.0
2023,16340,2,1.0,03/17/2023,2396096,away,702,UT Arlington,3,4,33.0,22,11,0,0,1,8,1,3,0,1.0,0.125
2023,16340,2,1.0,03/18/2023,2396457,away,702,UT Arlington,6,4,35.0,26,9,0,0,0,0,0,0,0,1.0,
2023,16340,2,1.0,03/19/2023,2396744,away,702,UT Arlington,12,7,32.0,23,9,0,0,0,6,0,0,0,1.0,0.0
2023,16340,2,1.0,03/21/2023,2397042,away,698,TCU,0,7,31.0,21,6,4,0,0,0,0,3,0,0.8709677419354839,
2023,16340,2,1.0,03/24/2023,2397320,home,102,Sacramento St.,4,8,33.0,24,8,1,0,0,0,0,3,0,0.9696969696969697,
2023,16340,2,1.0,03/25/2023,2397615,home,102,Sacramento St.,10,0,31.0,20,11,0,0,0,0,0,3,0,1.0,
