season,season_id,school_id,stats_player_seq,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2015,12080,2,1311152.0,55,217,66,0,31,15,1,2,36,22,4,4,2,34,1.0,10,3,0,4,0.0,0.0,245,0.30414746543778803,0.37551020408163266,0.4930875576036866,0.8685977616853193,0.34594594594594597,0.32222222222222224,0.00816326530612245,0.13877551020408163,0.08979591836734693,0.0489795918367347,0.6470588235294118
2015,12080,2,1420630.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1420632.0,55,104,23,0,13,5,0,1,10,8,3,0,1,22,2.0,0,0,0,0,0.0,0.0,113,0.22115384615384615,0.3008849557522124,0.3557692307692308,0.6566541865214433,0.2716049382716049,0.36363636363636365,0.008849557522123894,0.19469026548672566,0.07079646017699115,0.12389380530973451,0.36363636363636365
2015,12080,2,1547018.0,55,225,63,0,35,6,1,0,16,14,4,2,9,47,6.0,7,4,0,0,0.0,0.0,250,0.28,0.324,0.3466666666666667,0.6706666666666667,0.35,0.43209876543209874,0.0,0.188,0.056,0.132,0.2978723404255319
2015,12080,2,1547025.0,55,177,43,0,21,4,1,2,13,9,2,0,5,57,3.0,7,2,0,0,0.0,0.0,191,0.24293785310734464,0.28272251308900526,0.3502824858757062,0.6330049989647115,0.3474576271186441,0.36538461538461536,0.010471204188481676,0.29842931937172773,0.04712041884816754,0.2513089005235602,0.15789473684210525
2015,12080,2,1547026.0,55,41,10,0,8,1,0,0,4,5,1,1,2,14,0.0,0,0,0,0,0.0,0.0,49,0.24390243902439024,0.32653061224489793,0.2926829268292683,0.6192135390741662,0.35714285714285715,0.5,0.0,0.2857142857142857,0.10204081632653061,0.18367346938775508,0.35714285714285715
2015,12080,2,1547029.0,55,210,55,0,21,6,2,4,29,15,3,2,3,58,4.0,10,3,0,0,0.0,0.0,230,0.2619047619047619,0.3173913043478261,0.4238095238095238,0.7412008281573499,0.34,0.2463768115942029,0.017391304347826087,0.25217391304347825,0.06521739130434782,0.1869565217391304,0.25862068965517243
2015,12080,2,1547031.0,55,27,6,0,4,1,0,0,5,0,1,0,0,11,1.0,0,0,0,0,0.0,0.0,27,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.5555555555555556,0.375,0.5714285714285714,0.0,0.4074074074074074,0.0,0.4074074074074074,0.0
2015,12080,2,1547042.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1547048.0,55,72,15,0,9,2,0,0,3,5,1,0,3,25,4.0,7,0,0,0,0.0,0.0,80,0.20833333333333334,0.2625,0.2638888888888889,0.5263888888888889,0.3191489361702128,0.42857142857142855,0.0,0.3125,0.0625,0.25,0.2
2015,12080,2,1547054.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1547055.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1547057.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1547058.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1547059.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1547060.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1547062.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1547064.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2015,12080,2,1659957.0,55,134,31,0,19,2,0,1,15,7,2,0,4,24,1.0,2,2,0,0,0.0,0.0,145,0.23134328358208955,0.27586206896551724,0.291044776119403,0.5669068450849202,0.27522935779816515,0.46153846153846156,0.006896551724137931,0.16551724137931034,0.04827586206896552,0.11724137931034483,0.2916666666666667
