season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,RS%,HR%,K%,BB%,K-BB%,BB/K
2015,12080,2,1311152.0,1.0,55,217,31,66,15,1,2,36,10,3,22,34,4,0,0.0,4,2,4,1.0,0,0.0,2.0779116465863456,245,0.30414746543778803,0.37551020408163266,0.4930875576036866,0.8685977616853193,114.0,0.083,0.34594594594594597,39.97799999999999,35.081999999999994,37.343999999999994,0.32222222222222224,0.00816326530612245,0.13877551020408163,0.08979591836734693,0.0489795918367347,0.6470588235294118
2015,12080,2,1420630.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1420632.0,1.0,55,104,13,23,5,0,1,10,0,0,8,22,0,0,0.0,3,1,0,2.0,0,0.0,0.8427586206896552,113,0.22115384615384615,0.3008849557522124,0.3557692307692308,0.6566541865214433,58.0,0.048,0.2716049382716049,10.133999999999999,9.591999999999997,9.783999999999999,0.36363636363636365,0.008849557522123894,0.19469026548672566,0.07079646017699115,0.12389380530973451,0.36363636363636365
2015,12080,2,1547018.0,1.0,55,225,35,63,6,1,0,16,7,4,14,47,0,0,0.0,4,9,2,6.0,0,0.0,1.4555905511811023,250,0.28,0.324,0.3466666666666667,0.6706666666666667,58.0,0.04,0.35,24.34399999999999,22.283999999999995,25.208,0.43209876543209874,0.0,0.188,0.056,0.132,0.2978723404255319
2015,12080,2,1547025.0,1.0,55,177,21,43,4,1,2,13,7,2,9,57,0,0,0.0,2,5,0,3.0,0,0.0,0.8029015544041452,191,0.24293785310734464,0.28272251308900526,0.3502824858757062,0.6330049989647115,54.0,0.04,0.3474576271186441,17.283999999999995,16.448,18.016,0.36538461538461536,0.010471204188481676,0.29842931937172773,0.04712041884816754,0.2513089005235602,0.15789473684210525
2015,12080,2,1547026.0,1.0,55,41,8,10,1,0,0,4,0,0,5,14,0,0,0.0,1,2,1,0.0,0,0.0,0.5304,49,0.24390243902439024,0.32653061224489793,0.2926829268292683,0.6192135390741662,40.0,0.024,0.35714285714285715,3.6079999999999997,3.0119999999999996,3.0839999999999996,0.5,0.0,0.2857142857142857,0.10204081632653061,0.18367346938775508,0.35714285714285715
2015,12080,2,1547029.0,1.0,55,210,21,55,6,2,4,29,10,3,15,58,0,0,0.0,3,3,2,4.0,0,0.0,1.4394849785407724,230,0.2619047619047619,0.3173913043478261,0.4238095238095238,0.7412008281573499,83.0,0.057,0.34,27.96599999999999,26.299999999999994,28.559999999999995,0.2463768115942029,0.017391304347826087,0.25217391304347825,0.06521739130434782,0.1869565217391304,0.25862068965517243
2015,12080,2,1547031.0,1.0,55,27,4,6,1,0,0,5,0,0,0,11,0,0,0.0,1,0,0,1.0,0,0.0,0.065,27,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.5555555555555556,33.0,0.037,0.375,2.082,1.9919999999999995,2.0439999999999996,0.5714285714285714,0.0,0.4074074074074074,0.0,0.4074074074074074,0.0
2015,12080,2,1547042.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1547048.0,1.0,55,72,9,15,2,0,0,3,7,0,5,25,0,0,0.0,1,3,0,4.0,0,0.0,0.468641975308642,80,0.20833333333333334,0.2625,0.2638888888888889,0.5263888888888889,22.0,0.028,0.3191489361702128,5.329999999999999,4.943999999999999,5.067999999999999,0.42857142857142855,0.0,0.3125,0.0625,0.25,0.2
2015,12080,2,1547054.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1547055.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1547057.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1547058.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1547059.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1547060.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1547062.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1547064.0,1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2015,12080,2,1659957.0,1.0,55,134,19,31,2,0,1,15,2,2,7,24,0,0,0.0,2,4,0,1.0,0,0.0,0.6261224489795918,145,0.23134328358208955,0.27586206896551724,0.291044776119403,0.5669068450849202,33.0,0.015,0.27522935779816515,9.478000000000002,8.666,10.172000000000002,0.46153846153846156,0.006896551724137931,0.16551724137931034,0.04827586206896552,0.11724137931034483,0.2916666666666667
