R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,4,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,02/20/2024,home,16580,518,Ohio St.,9,True,10,3,7,win,4493116,1104,2800595,2024,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,02/22/2024,home,16580,463,Nebraska,9,True,2,7,-5,loss,4493161,1104,2800595,2024,1
0,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,02/23/2024,home,16580,463,Nebraska,9,True,1,11,-10,loss,4493163,1104,2800595,2024,1
1,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,02/25/2024,home,16580,463,Nebraska,9,True,8,10,-2,loss,4493162,1104,2800595,2024,1
1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2024,away,16580,706,UTSA,9,True,9,7,2,win,4528301,1104,2800595,2024,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2024,away,16580,706,UTSA,9,True,9,10,-1,loss,4528602,1104,2800595,2024,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/05/2024,home,16580,529,Oregon,9,True,4,9,-5,loss,4528965,1104,2800595,2024,1
1,3,1,0,0,4,1,3,0,0,0,0,1,0,0,0,0,0,0,03/09/2024,away,16580,676,SFA,9,True,5,3,2,win,4529859,1104,2800595,2024,1
1,4,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,03/10/2024,away,16580,676,SFA,9,True,10,1,9,win,4530129,1104,2800595,2024,1
1,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,03/15/2024,home,16580,1395,Tarleton St.,9,True,6,8,-2,loss,4531053,1104,2800595,2024,1
0,4,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,03/16/2024,home,16580,1395,Tarleton St.,10,True,5,4,1,win,4531508,1104,2800595,2024,1
0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,03/17/2024,home,16580,1395,Tarleton St.,9,True,14,0,14,win,4531662,1104,2800595,2024,1
0,4,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,03/19/2024,away,16580,29,Arizona,9,True,4,6,-2,loss,4532036,1104,2800595,2024,1
0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,03/22/2024,away,16580,536,UTRGV,9,True,5,3,2,win,4532519,1104,2800595,2024,1
0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,03/23/2024,away,16580,536,UTRGV,9,True,0,5,-5,loss,4532954,1104,2800595,2024,1
0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,03/29/2024,home,16580,102,Sacramento St.,9,True,4,0,4,win,4534129,1104,2800595,2024,1
2,2,2,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,03/30/2024,home,16580,102,Sacramento St.,9,True,12,4,8,win,4534367,1104,2800595,2024,1
1,4,1,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,04/02/2024,away,16580,28,Arizona St.,9,True,8,9,-1,loss,4534924,1104,2800595,2024,1
