R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
2,5,3,0,0,9,2,3,0,0,0,0,1,0,0,0,0,0,0,02/17/2023,neutral,16340,285,Holy Cross,9,True,12,1,11,win,2390323,559,2334897,2023,1
1,3,2,1,0,6,1,6,1,0,0,0,0,0,0,0,0,0,0,02/18/2023,neutral,16340,285,Holy Cross,9,True,14,4,10,win,2390601,559,2334897,2023,1
0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,02/18/2023,neutral,16340,285,Holy Cross,9,True,3,12,-9,loss,2408931,559,2334897,2023,1
2,3,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,02/19/2023,neutral,16340,285,Holy Cross,9,True,12,2,10,win,2390890,559,2334897,2023,1
1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2023,neutral,16340,471,NJIT,9,True,6,5,1,win,2421416,559,2334897,2023,1
0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,02/24/2023,neutral,16340,471,NJIT,9,True,1,5,-4,loss,2408295,559,2334897,2023,1
1,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,02/25/2023,neutral,16340,471,NJIT,9,True,7,4,3,win,2391712,559,2334897,2023,1
0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02/26/2023,neutral,16340,471,NJIT,9,True,5,7,-2,loss,2392075,559,2334897,2023,1
0,3,2,0,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,03/03/2023,neutral,16340,5,Akron,9,True,1,2,-1,loss,2392807,559,2334897,2023,1
3,6,3,0,0,9,2,6,0,0,0,0,0,0,0,0,0,0,0,03/04/2023,neutral,16340,5,Akron,9,True,17,9,8,win,2393216,559,2334897,2023,1
1,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,03/04/2023,neutral,16340,5,Akron,9,True,13,0,13,win,2408666,559,2334897,2023,1
