R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,4,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,02/02/2023,home,16340,347,Lane,10,True,7,6,1,win,2389638,30045,2654593,2023,2
1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,02/03/2023,home,16340,12830,Tusculum,9,True,2,1,1,win,2389787,30045,2654593,2023,2
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,02/03/2023,home,16340,1097,Ga. Southwestern,9,True,2,1,1,win,2389733,30045,2654593,2023,2
1,5,2,1,0,3,0,2,1,0,0,0,2,0,0,0,0,0,0,02/10/2023,home,16340,333,Ky. Wesleyan,9,True,19,5,14,win,2389975,30045,2654593,2023,2
1,3,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,02/11/2023,home,16340,2814,Washburn,9,True,8,0,8,win,2390071,30045,2654593,2023,2
1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,02/12/2023,home,16340,30154,Young Harris,9,True,6,20,-14,loss,2390149,30045,2654593,2023,2
1,4,2,0,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,02/21/2023,away,16340,49,Barry,9,True,1,5,-4,loss,2391186,30045,2654593,2023,2
0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,02/24/2023,home,16340,689,Tampa,9,True,1,2,-1,loss,2391542,30045,2654593,2023,2
1,3,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,02/25/2023,home,16340,689,Tampa,9,True,2,10,-8,loss,2391778,30045,2654593,2023,2
0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,02/25/2023,home,16340,689,Tampa,9,True,1,8,-7,loss,2408465,30045,2654593,2023,2
2,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,02/28/2023,home,16340,49,Barry,9,True,2,7,-5,loss,2392461,30045,2654593,2023,2
