App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,2.0,0.0,2,0,0,2,4,0,10,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,02/18/2017,neutral,12560,7,Alabama St.,9,True,3,2,1,win,206246,47,1639833,2017
0,0,1.0,0.0,1,1,0,0,0,0,5,5,1,0,0,0,0,0,0,3,3,0,0,18,2,1,0,0,0,4,0,02/19/2017,neutral,12560,367,Louisville,9,True,4,10,-6,loss,206578,47,1639833,2017
0,0,1.0,0.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0,0,0,2,0,02/24/2017,away,12560,149,Coastal Carolina,9,True,0,1,-1,loss,207037,47,1639833,2017
0,0,1.0,0.0,1,2,2,2,1,0,6,3,0,0,0,0,3,0,1,0,0,0,1,32,2,0,0,0,0,2,0,02/26/2017,neutral,12560,768,West Virginia,9,True,1,4,-3,loss,207861,47,1639833,2017
0,0,3.0,0.0,1,0,0,0,2,0,10,10,0,0,0,0,2,0,0,0,0,0,0,42,4,2,0,0,1,2,0,03/03/2017,neutral,12560,739,Villanova,9,True,3,1,2,win,208449,47,1639833,2017
0,0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,03/07/2017,neutral,12560,67,Boston College,9,True,4,1,3,win,209665,47,1639833,2017
0,0,1.2,0.0,4,2,2,1,1,0,9,7,0,1,0,0,0,0,0,0,0,0,1,32,1,2,0,0,0,2,0,03/10/2017,away,12560,528,Oregon St.,9,True,1,5,-4,loss,210245,47,1639833,2017
0,0,1.2,0.0,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,2,0,0,0,11,2,0,0,0,1,3,1,03/18/2017,home,12560,175,Dayton,9,True,4,3,1,win,212284,47,1639833,2017
0,0,2.0,0.0,3,2,1,2,3,0,11,9,0,0,0,1,0,0,0,0,0,0,0,50,0,3,0,0,0,2,0,03/24/2017,home,12560,331,Kent St.,9,True,5,6,-1,loss,213484,47,1639833,2017
0,0,2.0,0.0,1,0,0,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,4,1,03/28/2017,home,12560,87,Butler,9,True,3,7,-4,loss,214828,47,1639833,2017
0,0,2.0,0.0,2,2,2,2,3,0,10,8,1,0,0,0,0,0,0,3,3,0,0,40,1,2,0,0,0,2,2,04/01/2017,home,12560,519,Ohio,9,True,4,7,-3,loss,215950,47,1639833,2017
0,0,1.1,0.0,2,0,0,0,3,0,6,6,1,0,0,0,0,0,0,1,0,0,0,34,0,1,0,0,0,2,2,04/04/2017,away,12560,306,Indiana,11,True,2,3,-1,loss,216681,47,1639833,2017
0,0,1.1,0.0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,2,0,1,0,13,1,3,1,0,0,3,0,04/08/2017,away,12560,774,Western Mich.,9,True,16,5,11,win,217878,47,1639833,2017
0,0,1.2,0.0,2,1,0,0,1,0,6,6,0,0,0,0,1,0,0,1,0,0,0,18,2,1,0,0,0,4,0,04/08/2017,away,12560,774,Western Mich.,9,True,12,9,3,win,217917,47,1639833,2017
0,0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,1,2,0,04/14/2017,home,12560,71,Bowling Green,9,True,7,4,3,win,219408,47,1639833,2017
0,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,4,1,04/15/2017,home,12560,71,Bowling Green,9,True,13,6,7,win,220327,47,1639833,2017
0,0,2.0,0.0,2,0,0,0,2,0,7,7,1,0,0,0,0,0,0,0,0,0,0,35,2,1,0,0,0,4,0,04/18/2017,away,12560,559,Purdue,12,True,5,3,2,win,220703,47,1639833,2017
0,0,2.2,0.0,1,0,0,0,4,0,9,8,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,1,2,1,04/21/2017,away,12560,86,Buffalo,9,True,6,5,1,win,221427,47,1639833,2017
0,0,1.1,0.0,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,4,1,04/22/2017,away,12560,86,Buffalo,9,True,6,4,2,win,222030,47,1639833,2017
0,0,3.1,0.0,5,1,1,1,4,0,16,14,0,0,0,0,0,1,1,2,1,0,0,53,3,2,0,1,0,4,1,04/25/2017,neutral,12560,306,Indiana,10,True,3,4,-1,loss,222751,47,1639833,2017
0,0,2.0,0.0,4,5,3,2,1,0,13,10,0,0,0,0,2,0,0,3,3,0,1,41,2,2,0,1,0,3,0,04/29/2017,away,12560,503,NIU,9,True,8,11,-3,loss,223506,47,1639833,2017
0,0,1.1,0.0,2,2,1,0,0,0,7,7,1,0,0,1,0,0,0,2,0,0,0,24,3,1,0,0,0,4,0,05/13/2017,home,12560,769,Western Caro.,9,True,4,7,-3,loss,226321,47,1639833,2017
0,0,1.0,0.0,2,3,3,1,3,0,6,5,1,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,3,1,05/16/2017,away,12560,305,Indiana St.,9,True,2,8,-6,loss,226664,47,1639833,2017
0,0,1.1,0.0,0,0,0,1,3,0,5,4,0,0,0,0,0,0,0,3,0,0,0,23,0,1,0,0,1,3,1,05/18/2017,away,12560,129,Central Mich.,9,True,5,4,1,win,226757,47,1639833,2017
0,0,0.2,0.0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,2,1,0,0,11,1,0,0,0,0,4,1,05/24/2017,neutral,12560,519,Ohio,9,True,3,4,-1,loss,227341,47,1639833,2017
0,0,1.0,0.0,1,2,2,0,1,0,6,4,0,0,0,0,0,2,0,1,0,0,0,23,2,0,0,0,0,5,0,05/25/2017,neutral,12560,709,Toledo,9,True,5,15,-10,loss,227405,47,1639833,2017
