App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2019,neutral,14781,1274,Northwest Nazarene,9,True,3,2,1,win,1647348,11416,1770798,2019
1,0,2.0,0.0,5,6,1,2,4,0,15,12,2,0,0,0,0,1,0,0,0,0,0,58,0,2,0,0,0,3,2,02/09/2019,neutral,14781,100,Cal State LA,9,True,15,10,5,win,1647387,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2019,neutral,14781,1274,Northwest Nazarene,9,True,8,3,5,win,1647407,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/10/2019,neutral,14781,100,Cal State LA,9,True,9,11,-2,loss,1647499,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/15/2019,home,14781,205,Mont. St. Billings,9,True,5,4,1,win,1647744,11416,1770798,2019
1,0,4.0,0.0,0,0,0,1,8,0,16,13,0,0,0,0,2,1,0,0,0,1,0,61,3,3,1,0,0,3,2,02/16/2019,home,14781,205,Mont. St. Billings,12,True,8,7,1,win,1648013,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/17/2019,home,14781,205,Mont. St. Billings,9,True,6,3,3,win,1707928,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/21/2019,away,14781,30147,Fresno Pacific,9,True,6,1,5,win,1648590,11416,1770798,2019
1,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,3,0,02/22/2019,away,14781,30147,Fresno Pacific,9,True,3,2,1,win,1648750,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/22/2019,away,14781,30147,Fresno Pacific,9,True,5,0,5,win,1668465,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2019,away,14781,30095,Utah Tech,9,True,11,3,8,win,1716213,11416,1770798,2019
1,0,1.2,0.0,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,3,1,0,1,21,1,3,0,0,1,6,0,03/03/2019,away,14781,30095,Utah Tech,9,True,6,3,3,win,1716252,11416,1770798,2019
1,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,03/09/2019,away,14781,568,Regis (CO),9,True,10,6,4,win,1651791,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/10/2019,away,14781,568,Regis (CO),9,True,18,9,9,win,1717667,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/15/2019,home,14781,155,Colo. Sch. of Mines,9,True,7,1,6,win,1653151,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/16/2019,home,14781,155,Colo. Sch. of Mines,9,True,11,0,11,win,1667084,11416,1770798,2019
1,0,2.1,0.0,1,0,0,1,2,0,9,8,0,0,0,0,0,0,0,2,0,0,0,33,3,1,0,0,1,7,1,03/17/2019,home,14781,155,Colo. Sch. of Mines,9,True,15,11,4,win,1653766,11416,1770798,2019
1,0,2.0,0.0,1,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,20,1,4,0,0,0,2,0,03/22/2019,away,14781,9754,UC-Colo. Springs,9,True,7,3,4,win,1654615,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/23/2019,away,14781,9754,UC-Colo. Springs,9,True,3,12,-9,loss,1654950,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/29/2019,home,14781,11403,Colo. Christian,9,True,5,2,3,win,1656237,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/30/2019,home,14781,11403,Colo. Christian,9,True,22,3,19,win,1656606,11416,1770798,2019
1,0,1.0,0.0,0,0,0,1,1,0,5,3,0,0,0,0,0,0,1,0,0,1,0,14,1,1,0,0,0,4,1,03/31/2019,home,14781,11403,Colo. Christian,9,True,5,8,-3,loss,1656877,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/05/2019,away,14781,2720,CSU Pueblo,9,True,8,15,-7,loss,1657556,11416,1770798,2019
1,0,2.2,0.0,4,0,0,0,4,0,12,12,0,0,0,0,1,0,0,2,0,0,0,41,1,3,0,0,1,3,2,04/06/2019,away,14781,2720,CSU Pueblo,9,True,10,4,6,win,1657913,11416,1770798,2019
1,0,0.1,0.0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,3,2,0,0,10,0,0,0,0,0,4,0,04/07/2019,away,14781,2720,CSU Pueblo,9,True,8,12,-4,loss,1658319,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/13/2019,home,14781,929,Adams St.,9,True,11,4,7,win,1659721,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/13/2019,home,14781,929,Adams St.,9,True,11,0,11,win,1667180,11416,1770798,2019
1,0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,4,0,04/14/2019,home,14781,929,Adams St.,9,True,8,3,5,win,1659978,11416,1770798,2019
1,0,0.1,0.0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,1,2,0,04/19/2019,home,14781,8577,N.M. Highlands,9,True,3,2,1,win,1660928,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/19/2019,home,14781,8577,N.M. Highlands,9,True,6,7,-1,loss,1667575,11416,1770798,2019
1,0,2.0,0.0,2,0,0,0,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,28,1,1,0,0,0,2,1,04/20/2019,home,14781,8577,N.M. Highlands,9,True,10,1,9,win,1661274,11416,1770798,2019
1,0,1.1,0.0,0,0,0,1,1,0,5,4,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,1,2,0,04/27/2019,away,14781,413,MSU Denver,9,True,4,1,3,win,1662689,11416,1770798,2019
1,0,1.1,0.0,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,04/27/2019,away,14781,413,MSU Denver,9,True,5,2,3,win,1666168,11416,1770798,2019
1,0,1.0,0.0,1,1,1,0,1,0,4,4,0,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,1,4,0,04/28/2019,away,14781,413,MSU Denver,9,True,11,10,1,win,1662926,11416,1770798,2019
1,0,1.1,0.0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,2,0,0,0,22,0,1,0,0,1,3,2,05/02/2019,home,14781,30095,Utah Tech,9,True,9,6,3,win,1663341,11416,1770798,2019
1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/03/2019,home,14781,30095,Utah Tech,9,True,9,4,5,win,1730299,11416,1770798,2019
1,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,5,0,05/04/2019,home,14781,30095,Utah Tech,9,True,8,6,2,win,1730438,11416,1770798,2019
1,0,1.2,0.0,1,0,0,1,1,0,7,6,1,0,0,0,0,0,0,2,0,0,0,25,1,3,0,0,0,4,1,05/08/2019,home,14781,2720,CSU Pueblo,9,True,11,4,7,win,1731044,11416,1770798,2019
1,0,0.2,0.0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,1,4,1,05/09/2019,home,14781,9754,UC-Colo. Springs,9,True,8,4,4,win,1731537,11416,1770798,2019
1,0,1.1,0.0,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,2,0,0,0,17,2,0,0,0,1,2,1,05/10/2019,home,14781,30095,Utah Tech,9,True,3,1,2,win,1731690,11416,1770798,2019
1,0,1.0,0.0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,3,1,05/11/2019,home,14781,155,Colo. Sch. of Mines,9,True,13,2,11,win,1732003,11416,1770798,2019
