date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/20/2021,away,15580,108,UC Davis,9,True,5,3,2,win,5 - 3,5012396,754,1,3.2,0,3,2,1,2,3,0,17,14,2,0,0,0,1,1,0,0,0,0,0,69,2,5,0,0,0,1,2,0,2472088,2021
02/25/2021,away,15580,30095,Utah Tech,9,True,6,3,3,win,6 - 3,5007785,754,1,3.2,0,3,2,1,0,6,0,15,15,1,0,0,0,0,0,0,2,1,0,0,53,1,4,0,0,0,2,1,0,2472088,2021
03/07/2021,home,15580,1356,Seattle U,9,True,2,6,-4,loss,2 - 6,5018392,754,1,1.2,0,3,2,2,2,3,0,12,8,0,0,0,0,3,1,0,0,0,1,0,34,3,0,0,1,0,1,0,0,2472088,2021
03/17/2021,away,15580,551,Portland,9,True,6,4,2,win,6 - 4,5028714,754,1,3.0,0,0,1,0,0,7,0,10,9,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,2,0,0,2472088,2021
03/21/2021,away,15580,528,Oregon St.,9,True,8,9,-1,loss,8 - 9,5033483,754,1,1.1,0,4,4,4,2,0,0,9,7,0,0,0,0,2,0,0,1,1,0,0,34,1,2,0,0,0,2,0,0,2472088,2021
03/24/2021,away,15580,465,UNLV,9,True,8,15,-7,loss,8 - 15,5035657,754,1,0.2,0,2,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,2472088,2021
03/28/2021,away,15580,28,Arizona St.,9,True,0,9,-9,loss,0 - 9,5040597,754,1,1.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,8,0,3,0,0,0,4,0,0,2472088,2021
04/01/2021,home,15580,674,Stanford,9,True,3,18,-15,loss,3 - 18,5043836,754,1,1.1,0,1,3,3,2,3,0,8,5,1,0,0,0,0,1,0,0,0,0,0,35,0,1,0,0,0,2,0,0,2472088,2021
04/03/2021,home,15580,674,Stanford,10,True,10,9,1,win,10 - 9,5046815,754,1,0.2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,3,0,0,0,11,0,0,1,0,0,8,1,0,2472088,2021
04/07/2021,away,15580,30024,Utah Valley,9,True,5,3,2,win,5 - 3,5049758,754,1,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,8,0,0,2472088,2021
04/10/2021,away,15580,732,Utah,9,True,7,10,-3,loss,7 - 10,5052827,754,1,0.0,0,1,1,0,1,0,0,2,1,0,0,0,0,1,0,0,2,2,0,0,11,0,0,0,0,0,2,0,0,2472088,2021
04/13/2021,home,15580,260,Gonzaga,9,True,0,9,-9,loss,0 - 9,5064811,754,1,2.1,0,0,4,1,3,1,0,11,7,0,0,0,0,0,0,0,2,0,0,1,46,3,3,0,0,0,2,0,0,2472088,2021
04/18/2021,home,15580,29,Arizona,9,True,8,14,-6,loss,8 - 14,5061020,754,1,1.2,0,3,3,3,1,1,0,9,8,0,0,0,1,1,0,0,3,0,0,0,32,2,2,0,0,0,6,1,0,2472088,2021
04/27/2021,away,15580,260,Gonzaga,9,True,5,7,-2,loss,5 - 7,5068586,754,1,1.0,0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,2472088,2021
05/02/2021,home,15580,529,Oregon,9,True,11,6,5,win,11 - 6,5072501,754,1,1.0,0,0,0,0,1,1,0,5,3,0,0,0,0,1,1,0,0,0,0,0,21,0,2,0,0,0,6,1,0,2472088,2021
05/05/2021,home,15580,1356,Seattle U,9,True,16,8,8,win,16 - 8,5074008,754,1,1.0,0,1,1,0,2,2,0,7,5,1,0,0,0,0,0,0,1,0,0,0,24,1,0,0,0,0,7,0,0,2472088,2021
05/08/2021,home,15580,110,UCLA,9,True,6,7,-1,loss,6 - 7,5075999,754,1,0.1,0,3,2,2,0,1,0,4,4,0,0,0,0,1,0,0,1,1,0,0,18,0,0,0,1,0,7,0,0,2472088,2021
