date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/19/2022,home,15860,1356,Seattle U,9,True,22,10,12,win,22 - 10,5214087,112,1,1.2,0,2,0,0,0,5,0,7,7,0,0,0,0,0,0,0,3,2,0,0,36,0,0,0,0,0,3,2,0,2679583,2022
02/22/2022,away,15860,657,Southern California,9,True,6,2,4,win,6 - 2,5213030,112,1,1.2,0,0,0,0,2,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,17,2,1,1,0,0,2,0,0,2679583,2022
02/27/2022,home,15860,756,Washington,9,True,0,7,-7,loss,0 - 7,5219079,112,1,1.1,0,1,1,1,2,1,0,7,5,0,0,0,0,0,0,0,1,0,0,0,32,2,1,0,0,0,2,0,0,2679583,2022
03/05/2022,away,15860,631,Santa Clara,9,True,2,6,-4,loss,2 - 6,5243708,112,1,1.0,0,0,0,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,3,0,0,2679583,2022
03/11/2022,home,15860,104,UC Santa Barbara,9,True,6,9,-3,loss,6 - 9,5232727,112,1,0.1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,2679583,2022
03/20/2022,home,15860,164,UConn,9,True,2,3,-1,loss,2 - 3,5241404,112,1,0.2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,8,0,1,0,0,0,3,1,0,2679583,2022
03/21/2022,home,15860,164,UConn,9,True,8,7,1,win,8 - 7,5242300,112,1,0.2,0,1,1,1,0,1,0,3,3,0,0,0,1,0,0,0,1,1,0,0,9,1,0,0,0,0,2,0,0,2679583,2022
03/25/2022,home,15860,90,Cal Poly,9,True,0,7,-7,loss,0 - 7,5245693,112,1,1.0,0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,2,1,0,2679583,2022
04/03/2022,away,15860,99,Long Beach St.,9,True,0,4,-4,loss,0 - 4,5255002,112,1,2.0,0,1,0,0,1,2,0,8,7,1,0,0,0,0,0,0,2,0,0,0,35,0,4,0,0,0,4,0,0,2679583,2022
04/05/2022,home,15860,627,San Diego,9,True,4,13,-9,loss,4 - 13,5256691,112,1,0.1,0,2,2,2,2,1,0,6,3,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,5,1,0,2679583,2022
04/15/2022,away,15860,104,UC Santa Barbara,9,True,5,10,-5,loss,5 - 10,5266120,112,1,1.0,0,2,3,3,2,1,0,7,4,0,0,0,0,0,0,0,3,3,0,1,31,0,2,0,0,0,2,1,0,2679583,2022
05/07/2022,home,15860,97,Cal St. Fullerton,9,True,7,19,-12,loss,7 - 19,5284727,112,1,1.0,0,0,0,0,1,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,5,0,0,2679583,2022
05/11/2022,away,15860,529,Oregon,9,True,6,15,-9,loss,6 - 15,5286280,112,1,2.0,0,8,6,5,0,1,0,12,11,3,0,0,0,0,0,0,1,1,0,1,38,1,2,0,0,0,2,0,0,2679583,2022
05/28/2022,away,15860,101,CSUN,9,True,3,1,2,win,3 - 1,5290503,112,1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,4,0,0,2679583,2022
