date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/15/2019,away,14781,523,Old Dominion,9,True,5,4,1,win,5 - 4,4705056,19651,1,2.0,0,0,0,0,0,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,33,0,2,0,0,1,4,1,1871430,2019
02/26/2019,home,14781,489,N.C. Central,9,True,6,4,2,win,6 - 4,4717789,19651,1,1.2,0,0,0,0,1,2,0,6,5,0,0,0,0,0,0,0,2,0,0,0,27,1,2,0,0,1,6,0,1871430,2019
03/02/2019,home,14781,786,William & Mary,9,True,3,4,-1,loss,3 - 4,4720162,19651,1,1.2,0,0,0,0,0,1,0,5,5,0,0,0,0,1,0,0,1,1,0,0,20,2,2,0,0,0,4,1,1871430,2019
03/10/2019,away,14781,317,James Madison,9,True,8,6,2,win,8 - 6,4730043,19651,1,7.0,0,3,1,1,1,6,0,26,24,1,1,0,0,0,1,0,1,0,0,0,79,6,8,1,0,0,2,2,1871430,2019
03/18/2019,home,14781,115,Campbell,9,True,2,8,-6,loss,2 - 8,4740411,19651,1,2.0,0,2,1,1,1,2,0,9,8,1,0,0,0,0,0,0,0,0,0,0,30,1,3,0,0,0,2,1,1871430,2019
03/22/2019,away,14781,10411,USC Upstate,9,True,4,2,2,win,4 - 2,4744187,19651,1,5.2,0,2,1,1,4,7,0,23,17,0,0,0,0,1,1,0,0,0,1,0,103,4,5,1,0,0,1,3,1871430,2019
03/29/2019,home,14781,48,Charleston So.,9,True,9,4,5,win,9 - 4,4752066,19651,1,5.2,0,5,4,3,4,5,0,27,23,1,0,0,0,0,0,0,0,0,0,0,100,4,7,0,0,0,1,2,1871430,2019
04/05/2019,away,14781,792,Winthrop,9,True,2,8,-6,loss,2 - 8,4759420,19651,1,5.1,0,8,8,7,2,2,0,26,24,0,0,0,3,1,0,0,0,0,0,0,86,4,10,0,1,0,1,1,1871430,2019
04/13/2019,home,14781,363,Longwood,9,True,3,1,2,win,3 - 1,4769389,19651,1,3.0,0,1,0,0,0,5,0,10,10,0,0,0,0,0,0,0,0,0,0,0,40,0,4,1,0,0,2,0,1871430,2019
04/18/2019,away,14781,1320,Presbyterian,9,True,1,6,-5,loss,1 - 6,4773838,19651,1,1.0,0,2,3,3,2,0,0,7,4,1,0,0,0,1,0,0,0,0,0,1,30,0,3,0,1,0,1,0,1871430,2019
04/20/2019,away,14781,1320,Presbyterian,9,True,4,2,2,win,4 - 2,4791271,19651,1,2.2,0,0,0,0,0,4,0,8,8,0,0,0,0,0,0,0,3,0,0,0,42,0,4,0,0,1,3,1,1871430,2019
04/28/2019,home,14781,456,UNC Asheville,9,True,9,4,5,win,9 - 4,4783295,19651,1,4.0,0,0,0,0,0,7,0,14,13,0,0,0,0,0,0,0,1,0,1,0,57,1,4,1,0,0,3,2,1871430,2019
05/01/2019,home,14781,749,Wake Forest,9,True,7,5,2,win,7 - 5,4785349,19651,1,3.0,0,3,1,1,2,6,0,13,11,0,0,0,1,0,0,0,0,0,0,0,55,1,1,1,0,0,3,1,1871430,2019
05/12/2019,home,14781,1092,Gardner-Webb,9,True,2,10,-8,loss,2 - 10,4791169,19651,1,3.1,0,3,1,1,2,4,0,17,14,0,0,0,0,0,1,0,2,2,0,0,70,3,3,0,0,0,2,0,1871430,2019
05/16/2019,away,14781,563,Radford,9,True,7,10,-3,loss,7 - 10,4791779,19651,1,3.1,0,2,5,4,4,4,0,18,10,0,0,0,1,1,2,0,1,0,2,0,63,2,3,0,1,0,3,1,1871430,2019
05/21/2019,home,14781,456,UNC Asheville,9,True,2,0,2,win,2 - 0,4793049,19651,1,3.1,0,2,0,0,0,5,0,12,12,0,0,0,0,0,0,0,2,0,0,0,53,3,2,1,0,0,2,2,1871430,2019
05/24/2019,home,14781,563,Radford,9,True,6,4,2,win,6 - 4,4795044,19651,1,3.1,0,3,2,2,2,1,0,15,11,0,0,0,1,0,1,0,3,0,0,1,49,3,5,1,0,0,2,0,1871430,2019
