App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,1,3.0,0.0,3,5,3,5,0,0,18,13,0,0,0,0,3,0,0,0,0,0,0,0,5,4,0,0,0,1,0,02/18/2017,away,12560,542,Pfeiffer,9,True,9,10,-1,loss,206158,437,1542222,2017
0,1,7.0,0.0,4,2,1,0,5,0,27,26,2,0,0,0,0,1,0,0,0,0,0,0,13,3,0,0,0,1,3,02/24/2017,neutral,12560,1460,Wilmington (DE),9,True,3,6,-3,loss,207112,437,1542222,2017
0,1,7.0,0.0,8,5,4,1,9,0,32,29,2,0,0,1,1,1,0,0,0,1,0,0,6,4,0,1,0,1,5,03/04/2017,home,12560,410,Merrimack,9,True,5,12,-7,loss,208890,437,1542222,2017
0,1,7.0,0.0,6,4,1,7,3,0,33,26,0,0,0,0,1,0,0,0,0,0,0,0,12,3,0,1,0,1,0,03/11/2017,neutral,12560,658,Southern Conn. St.,9,True,3,4,-1,loss,210715,437,1542222,2017
0,0,1.0,0.0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,03/21/2017,home,12560,8956,Dominican (NY),9,True,9,10,-1,loss,213013,437,1542222,2017
0,1,7.0,0.0,7,3,3,5,4,0,32,26,1,0,0,0,0,0,0,0,0,1,0,99,11,4,1,0,0,1,1,03/25/2017,home,12560,560,Queens (NY),9,True,10,4,6,win,213815,437,1542222,2017
0,1,9.0,1,9,1,1,1,4,0,34,32,2,0,0,0,0,0,0,0,0,1,0,112,11,9,1,0,0,1,2,04/01/2017,home,12560,74,Bridgeport,9,True,8,1,7,win,215635,437,1542222,2017
0,1,3.0,0.0,6,6,6,5,1,0,21,12,4,0,0,0,1,2,0,0,0,1,1,80,5,2,0,0,0,1,0,04/08/2017,home,12560,560,Queens (NY),9,True,18,13,5,win,217515,437,1542222,2017
0,1,6.0,0.0,4,2,2,6,5,0,27,19,1,0,0,0,0,2,0,0,0,0,0,117,7,3,0,1,0,1,2,04/14/2017,home,12560,407,Mercy,9,True,0,3,-3,loss,219379,437,1542222,2017
0,1,8.1,1,6,3,2,5,4,0,38,30,0,0,0,0,0,0,0,0,0,2,0,122,15,6,0,1,0,1,0,04/22/2017,away,12560,362,LIU Post,9,True,2,3,-1,loss,221471,437,1542222,2017
0,1,7.0,0.0,9,7,7,1,3,0,31,29,2,0,0,1,1,1,0,0,0,0,0,98,9,8,0,1,0,1,1,04/28/2017,away,12560,1348,St. Thomas Aquinas,9,True,2,7,-5,loss,223260,437,1542222,2017
0,1,5.1,0.0,8,5,4,1,5,0,25,23,4,0,0,0,2,0,0,0,0,1,0,93,6,5,0,0,0,1,1,05/06/2017,away,12560,362,LIU Post,10,True,5,8,-3,loss,225210,437,1542222,2017
0,1,5.2,0.0,8,5,5,5,2,0,28,23,2,1,0,1,0,0,0,0,0,0,0,107,10,2,0,1,0,1,0,05/11/2017,away,12560,1348,St. Thomas Aquinas,9,True,1,6,-5,loss,225999,437,1542222,2017
