App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,1.0,0.0,0,0,0,0,1,0,4,3,0,0,0,0,0,1,0,3,2,0,0,0,1,1,0,0,0,5,0,03/02/2019,neutral,14781,9630,West Va. Wesleyan,9,True,1,11,-10,loss,1665693,1266,1890416,2019
1,0,3.1,0.0,3,1,1,0,1,0,14,13,2,0,0,0,0,1,0,3,1,0,0,0,3,6,0,0,0,2,1,03/08/2019,neutral,14781,757,Wayne St. (MI),9,True,3,8,-5,loss,1718452,1266,1890416,2019
1,0,1.0,0.0,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,03/16/2019,neutral,14781,790,Winona St.,9,True,2,12,-10,loss,1667280,1266,1890416,2019
1,0,3.0,0.0,1,0,0,2,0,0,13,10,0,0,0,0,0,1,1,0,0,0,0,39,5,4,1,0,0,5,0,03/21/2019,neutral,14781,30128,Sioux Falls,11,True,7,6,1,win,1654275,1266,1890416,2019
1,0,2.2,0.0,3,0,0,1,1,0,13,12,0,0,0,0,1,0,0,2,0,0,0,0,1,6,1,0,0,4,0,03/24/2019,neutral,14781,728,Upper Iowa,9,True,14,6,8,win,1720673,1266,1890416,2019
1,0,1.0,0.0,2,2,1,1,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,2,0,03/27/2019,away,14781,41,Augustana (SD),9,True,3,13,-10,loss,1667853,1266,1890416,2019
1,0,1.0,0.0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,04/07/2019,neutral,14781,9081,Concordia-St. Paul,9,True,1,0,1,win,1668901,1266,1890416,2019
1,0,2.0,0.0,3,0,0,1,0,0,11,10,1,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,3,0,04/09/2019,home,14781,383,Minnesota St.,9,True,1,14,-13,loss,1724067,1266,1890416,2019
1,0,1.0,0.0,1,4,4,3,1,0,7,4,0,0,0,1,0,0,0,2,2,0,0,0,1,1,0,0,0,3,0,04/14/2019,away,14781,30125,Minot St.,9,True,3,9,-6,loss,1725063,1266,1890416,2019
1,0,2.1,0.0,4,3,2,0,1,0,11,11,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,3,1,04/16/2019,away,14781,427,Minn. Duluth,9,True,13,8,5,win,1668671,1266,1890416,2019
1,0,2.2,0.0,0,0,0,0,2,0,8,7,0,0,0,0,0,1,0,1,0,0,0,0,3,1,1,0,0,2,1,04/20/2019,home,14781,54,Bemidji St.,9,True,7,4,3,win,1661258,1266,1890416,2019
1,0,1.2,0.0,3,1,1,0,0,0,9,8,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,1,0,3,0,04/27/2019,away,14781,598,St. Cloud St.,9,True,0,6,-6,loss,1728165,1266,1890416,2019
1,0,2.2,0.0,0,0,0,3,2,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,1,04/30/2019,neutral,14781,8736,Southwest Minn. St.,9,True,6,8,-2,loss,1729414,1266,1890416,2019
1,0,0.2,0.0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,0,05/03/2019,neutral,14781,30075,Mary,9,True,10,3,7,win,1665423,1266,1890416,2019
1,0,0.2,0.0,0,0,0,1,2,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,05/10/2019,neutral,14781,30125,Minot St.,9,True,2,5,-3,loss,1731928,1266,1890416,2019
