date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/15/2019,away,14781,8,Alabama,9,True,2,7,-5,loss,2 - 7,4705057,1320,1,1.0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,3,0,1995321,2019
02/16/2019,away,14781,8,Alabama,9,True,4,9,-5,loss,4 - 9,4707220,1320,1,0.1,0,2,1,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,1995321,2019
02/27/2019,away,14781,489,N.C. Central,9,True,9,3,6,win,9 - 3,4717461,1320,1,1.0,0,3,1,1,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,3,0,1995321,2019
03/05/2019,home,14781,489,N.C. Central,9,True,6,5,1,win,6 - 5,4723878,1320,1,0.2,0,2,2,2,1,0,0,6,4,0,0,0,0,1,1,0,1,1,0,0,17,0,2,0,0,0,2,0,1995321,2019
03/12/2019,away,14781,1157,Kennesaw St.,9,True,5,13,-8,loss,5 - 13,4735696,1320,1,1.0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,17,1,2,0,0,0,4,0,1995321,2019
03/27/2019,home,14781,2915,Wofford,9,True,5,4,1,win,5 - 4,4750254,1320,1,2.0,0,1,1,1,0,2,0,7,7,0,0,0,1,0,0,0,0,0,0,0,19,1,3,1,0,0,5,0,1995321,2019
03/31/2019,away,14781,115,Campbell,9,True,4,11,-7,loss,4 - 11,4754772,1320,1,1.0,0,3,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,6,0,1995321,2019
04/02/2019,away,14781,253,Ga. Southern,9,True,5,10,-5,loss,5 - 10,4756728,1320,1,0.2,0,1,0,0,0,1,0,4,3,1,0,0,0,0,1,0,3,3,0,0,12,0,1,0,0,0,6,0,1995321,2019
04/10/2019,away,14781,2915,Wofford,10,True,7,6,1,win,7 - 6,4765811,1320,1,1.0,0,0,0,0,1,1,0,3,2,0,0,0,0,1,0,1,3,1,0,0,10,0,1,0,0,1,7,0,1995321,2019
04/12/2019,away,14781,10411,USC Upstate,9,True,8,0,8,win,8 - 0,4770669,1320,1,2.0,0,1,0,0,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,2,1,1995321,2019
04/13/2019,away,14781,10411,USC Upstate,9,True,4,3,1,win,4 - 3,4769340,1320,1,2.0,0,1,0,0,1,4,0,8,7,0,0,0,0,0,0,0,3,0,0,0,34,0,2,0,0,1,4,0,1995321,2019
04/16/2019,away,14781,173,Davidson,9,True,8,10,-2,loss,8 - 10,4772643,1320,1,0.2,0,1,0,0,0,2,0,3,3,0,0,0,0,0,0,0,3,1,0,0,13,0,0,0,0,0,3,0,1995321,2019
04/20/2019,home,14781,19651,High Point,9,True,4,5,-1,loss,4 - 5,4776368,1320,1,3.0,0,1,2,0,1,3,0,12,11,0,0,0,0,0,0,0,1,0,0,0,42,0,6,0,1,0,3,2,1995321,2019
04/23/2019,home,14781,173,Davidson,9,True,15,7,8,win,15 - 7,4778282,1320,1,1.1,0,4,3,2,1,2,0,10,9,0,0,0,1,0,0,0,2,2,0,0,30,1,1,0,0,0,2,1,1995321,2019
04/27/2019,away,14781,545,Pittsburgh,12,True,9,7,2,win,9 - 7,4782566,1320,1,0.1,0,0,3,3,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,3,0,1995321,2019
05/07/2019,away,14781,147,Clemson,9,True,8,7,1,win,8 - 7,4789051,1320,1,3.0,0,8,6,6,2,2,0,18,16,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,1,2,1995321,2019
05/10/2019,away,14781,363,Longwood,9,True,13,11,2,win,13 - 11,4790147,1320,1,3.0,0,3,1,1,0,3,0,12,12,1,0,0,0,1,0,0,0,0,0,0,39,1,5,1,0,0,2,2,1995321,2019
05/14/2019,home,14781,254,Georgia St.,9,True,11,7,4,win,11 - 7,4791467,1320,1,3.0,0,2,0,0,0,2,0,11,11,1,0,0,0,0,0,0,0,0,0,0,40,2,5,1,0,0,1,0,1995321,2019
05/18/2019,away,14781,48,Charleston So.,9,True,15,6,9,win,15 - 6,4792491,1320,1,1.0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,3,0,1995321,2019
05/23/2019,home,14781,792,Winthrop,9,True,5,12,-7,loss,5 - 12,4794577,1320,1,0.1,0,3,3,3,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,2,0,1995321,2019
