PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
2,0,2,0,0,0,0,0,0,0,02/24/2024,neutral,16580,577,Ripon,9,True,4,7,-3,loss,4526954,286,2809490,2024,3
1,0,1,0,0,0,0,0,0,0,03/02/2024,away,16580,2694,Franklin,9,True,7,8,-1,loss,4543547,286,2809490,2024,3
4,1,5,0,0,0,0,0,0,0,03/08/2024,neutral,16580,452,Mount Union,9,True,0,6,-6,loss,4529326,286,2809490,2024,3
2,0,2,0,0,0,0,0,0,0,03/09/2024,neutral,16580,939,Anderson (IN),9,True,6,3,3,win,4529670,286,2809490,2024,3
1,0,1,0,0,0,0,0,0,0,03/12/2024,neutral,16580,641,Simpson,8,True,13,10,3,win,4543673,286,2809490,2024,3
1,0,1,0,0,0,0,0,0,0,03/13/2024,neutral,16580,30172,IIT,9,True,11,4,7,win,4530613,286,2809490,2024,3
2,0,2,0,0,0,0,0,0,0,03/22/2024,away,16580,424,Millikin,9,True,8,11,-3,loss,4532461,286,2809490,2024,3
2,0,2,0,0,0,0,0,0,0,03/27/2024,away,16580,1192,Manchester,9,True,8,10,-2,loss,4533415,286,2809490,2024,3
2,0,2,0,0,0,0,0,0,0,03/29/2024,away,16580,30037,Trine,9,True,8,1,7,win,5255817,286,2809490,2024,3
3,0,3,0,0,0,0,0,0,0,03/29/2024,home,16580,30037,Trine,9,True,6,5,1,win,4534076,286,2809490,2024,3
3,0,3,0,0,0,0,0,0,0,04/06/2024,home,16580,21,Alma,9,True,8,5,3,win,4535725,286,2809490,2024,3
