PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
4,4,8,0,0,0,0,0,2,0,02/23/2024,neutral,16580,160,Concordia Chicago,9,True,14,9,5,win,4526600,278,2682346,2024,3
0,2,3,1,0,0,0,0,0,0,02/24/2024,neutral,16580,348,Lawrence,9,True,4,11,-7,loss,5249423,278,2682346,2024,3
1,4,5,0,0,0,0,0,0,0,02/24/2024,neutral,16580,496,North Park,9,True,6,2,4,win,4527084,278,2682346,2024,3
2,0,2,0,0,0,0,0,0,0,03/02/2024,neutral,16580,938,Alvernia,9,True,7,6,1,win,4528173,278,2682346,2024,3
0,4,4,0,0,0,0,0,0,0,03/02/2024,neutral,16580,582,Rockford,9,True,9,3,6,win,4528174,278,2682346,2024,3
5,3,8,0,0,0,0,0,2,0,03/03/2024,neutral,16580,16142,Misericordia,9,True,6,7,-1,loss,4528643,278,2682346,2024,3
3,1,6,2,0,0,0,0,0,0,03/04/2024,neutral,16580,602,Saint John's (MN),13,True,8,3,5,win,4528770,278,2682346,2024,3
4,0,4,0,0,0,0,0,0,0,03/05/2024,neutral,16580,987,Bluffton,9,True,12,5,7,win,4528897,278,2682346,2024,3
5,2,8,1,0,0,0,0,1,0,03/07/2024,neutral,16580,747,Wabash,10,True,9,7,2,win,4529193,278,2682346,2024,3
2,2,4,0,0,0,0,0,0,0,03/08/2024,neutral,16580,45,Babson,9,True,2,7,-5,loss,4529391,278,2682346,2024,3
4,4,8,0,0,0,0,0,3,0,03/08/2024,neutral,16580,329,Kean,9,True,10,7,3,win,4529454,278,2682346,2024,3
5,1,8,2,0,0,0,0,1,0,03/09/2024,neutral,16580,747,Wabash,9,True,6,14,-8,loss,4529726,278,2682346,2024,3
5,1,6,0,0,0,0,0,1,0,03/13/2024,away,16580,1451,Westminster (PA),9,True,8,1,7,win,4530568,278,2682346,2024,3
3,1,4,0,0,0,0,0,0,0,03/16/2024,home,16580,15,Albion,9,True,10,9,1,win,4531419,278,2682346,2024,3
3,3,6,0,0,0,0,0,1,0,03/16/2024,home,16580,15,Albion,9,True,10,6,4,win,4544812,278,2682346,2024,3
5,5,10,0,0,0,0,0,4,0,03/19/2024,home,16580,4,Adrian,9,True,5,4,1,win,5254533,278,2682346,2024,3
3,3,6,0,0,0,0,0,2,0,03/24/2024,away,16580,117,Capital,9,True,14,2,12,win,4532891,278,2682346,2024,3
3,3,7,1,0,0,0,0,1,0,03/24/2024,away,16580,117,Capital,9,True,13,9,4,win,4543067,278,2682346,2024,3
4,2,7,1,0,0,0,0,2,0,03/27/2024,away,16580,520,Ohio Wesleyan,9,True,9,10,-1,loss,4533612,278,2682346,2024,3
0,2,2,0,0,0,0,0,0,0,03/29/2024,home,16580,452,Mount Union,9,True,3,2,1,win,4534012,278,2682346,2024,3
1,4,5,0,0,0,0,0,1,0,03/29/2024,home,16580,452,Mount Union,9,True,9,7,2,win,4544488,278,2682346,2024,3
1,1,2,0,0,0,0,0,0,0,04/06/2024,home,16580,1461,Wilmington (OH),9,True,10,0,10,win,4535753,278,2682346,2024,3
