PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
8,2,10.0,0,0,0,0,1,0,0,02/02/2018,away,12973,91,Cal Poly Pomona,9,True,1,6,-5,loss,84551,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,02/03/2018,away,12973,91,Cal Poly Pomona,9,True,4,13,-9,loss,84649,9754,1879234,2018
3,0,3.0,0,0,0,0,0,0,0,02/03/2018,away,12973,91,Cal Poly Pomona,9,True,10,1,9,win,84684,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,02/04/2018,away,12973,91,Cal Poly Pomona,9,True,8,3,5,win,84750,9754,1879234,2018
4,0,4.0,0,0,0,2,0,0,0,02/09/2018,away,12973,130,Central Mo.,9,True,4,6,-2,loss,84938,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,02/09/2018,away,12973,130,Central Mo.,9,True,7,9,-2,loss,84972,9754,1879234,2018
5,1,7.0,1,0,2,0,1,0,0,02/17/2018,home,12973,1433,Wayne St. (NE),9,True,6,5,1,win,85540,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,02/17/2018,home,12973,1433,Wayne St. (NE),9,True,16,4,12,win,85717,9754,1879234,2018
6,1,8.0,1,0,0,0,1,0,0,02/18/2018,home,12973,1156,Neb.-Kearney,9,True,9,10,-1,loss,85966,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,02/18/2018,home,12973,1156,Neb.-Kearney,9,True,6,2,4,win,86009,9754,1879234,2018
8,1,9.0,0,0,0,0,1,0,0,02/24/2018,away,12973,8577,N.M. Highlands,9,True,1,6,-5,loss,86587,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,02/25/2018,away,12973,8577,N.M. Highlands,9,True,15,4,11,win,86995,9754,1879234,2018
6,2,8.0,0,0,0,0,0,0,0,03/02/2018,home,12973,568,Regis (CO),9,True,16,9,7,win,87579,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,03/03/2018,home,12973,568,Regis (CO),9,True,5,4,1,win,87912,9754,1879234,2018
7,0,7.0,0,0,0,0,0,0,0,03/03/2018,home,12973,568,Regis (CO),9,True,8,13,-5,loss,88004,9754,1879234,2018
7,0,8.0,1,0,0,0,0,0,0,03/04/2018,home,12973,568,Regis (CO),9,True,6,5,1,win,88318,9754,1879234,2018
7,2,9.0,0,0,0,0,1,0,0,03/09/2018,away,12973,11416,Colorado Mesa,9,True,0,2,-2,loss,89407,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,03/10/2018,away,12973,11416,Colorado Mesa,11,True,6,7,-1,loss,89864,9754,1879234,2018
4,1,5.0,0,0,0,0,0,0,0,03/10/2018,away,12973,11416,Colorado Mesa,9,True,3,4,-1,loss,89959,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,03/11/2018,away,12973,11416,Colorado Mesa,9,True,4,8,-4,loss,90315,9754,1879234,2018
10,0,10.0,0,0,0,0,0,0,0,03/16/2018,home,12973,929,Adams St.,9,True,15,3,12,win,91196,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,03/17/2018,home,12973,929,Adams St.,9,True,6,4,2,win,91657,9754,1879234,2018
5,2,7.0,0,0,1,0,1,0,0,03/17/2018,home,12973,929,Adams St.,9,True,11,3,8,win,91751,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,03/18/2018,home,12973,929,Adams St.,9,True,6,12,-6,loss,92073,9754,1879234,2018
7,1,8.0,0,0,0,2,1,0,0,03/23/2018,away,12973,11403,Colo. Christian,9,True,11,8,3,win,92917,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,03/24/2018,away,12973,11403,Colo. Christian,9,True,14,5,9,win,93302,9754,1879234,2018
6,0,6.0,0,0,0,0,0,0,0,03/24/2018,away,12973,11403,Colo. Christian,9,True,8,6,2,win,93400,9754,1879234,2018
6,0,6.0,0,0,1,3,0,0,0,03/25/2018,away,12973,11403,Colo. Christian,9,True,5,9,-4,loss,93660,9754,1879234,2018
10,1,12.0,1,0,0,0,0,0,0,03/29/2018,home,12973,155,Colo. Sch. of Mines,9,True,6,3,3,win,94432,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,03/30/2018,home,12973,155,Colo. Sch. of Mines,9,True,4,9,-5,loss,94777,9754,1879234,2018
11,0,11.0,0,0,1,0,0,0,0,03/30/2018,home,12973,155,Colo. Sch. of Mines,9,True,3,4,-1,loss,94848,9754,1879234,2018
6,0,6.0,0,0,1,0,0,0,0,03/31/2018,home,12973,155,Colo. Sch. of Mines,9,True,7,14,-7,loss,95106,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,04/07/2018,home,12973,568,Regis (CO),9,True,7,6,1,win,96515,9754,1879234,2018
0,0,0.0,0,0,0,0,0,0,0,04/08/2018,home,12973,568,Regis (CO),9,True,10,9,1,win,96944,9754,1879234,2018
6,3,9.0,0,0,0,0,1,0,0,04/08/2018,home,12973,413,MSU Denver,10,True,7,10,-3,loss,96945,9754,1879234,2018
8,1,9.0,0,0,0,2,0,0,0,04/13/2018,away,12973,8577,N.M. Highlands,9,True,7,8,-1,loss,98268,9754,1879234,2018
