App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
1,,1.0,,0,0,0,2,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,,0,3,0,0,0,5,0,04/10/2012,away,10942,603,St. John's (NY),9,True,9,6,3,win,770647,158,972581,2012,9 - 6,,0.0
1,,2.1,,1,0,0,0,1,0,8,8,0,0,0,1,0,0,0,3,0,0,0,,2,4,0,0,0,2,0,04/18/2012,away,10942,381,Manhattan,9,True,2,9,-7,loss,773599,158,972581,2012,2 - 9,,0.0
1,,6.0,,2,0,0,2,3,0,24,20,0,0,0,0,0,2,0,0,0,0,0,,7,8,1,0,0,1,1,04/25/2012,home,10942,236,Fordham,9,True,6,1,5,win,775843,158,972581,2012,6 - 1,,82.0
1,,2.0,,0,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,,1,5,0,0,0,3,0,02/18/2012,home,10942,771,Western Ill.,9,True,11,9,2,win,755838,254,1314112,2012,11 - 9,,0.0
1,,3.1,,2,3,0,0,2,0,14,13,0,0,1,0,0,0,0,3,0,1,0,,6,2,0,1,0,2,1,02/22/2012,away,10942,257,Georgia,9,True,1,4,-3,loss,756490,254,1314112,2012,1 - 4,,0.0
1,,0.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,3,0,02/25/2012,home,10942,43,Austin Peay,9,True,3,5,-2,loss,756850,254,1314112,2012,3 - 5,,2.0
1,,1.0,,2,2,1,0,1,0,6,6,1,0,0,0,0,0,0,2,2,0,0,,1,1,0,0,0,5,1,02/26/2012,home,10942,43,Austin Peay,9,True,9,7,2,win,757367,254,1314112,2012,9 - 7,,17.0
1,,1.0,,3,2,2,0,0,0,6,6,1,1,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,2,0,02/29/2012,away,10942,10411,USC Upstate,9,True,1,4,-3,loss,757928,254,1314112,2012,1 - 4,,12.0
1,,0.1,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,3,0,03/02/2012,home,10942,659,Southern Ill.,9,True,4,5,-1,loss,758230,254,1314112,2012,4 - 5,,7.0
1,,3.2,,2,0,0,0,1,0,14,13,0,0,0,0,0,1,0,1,0,0,0,,2,8,0,0,0,3,1,03/03/2012,home,10942,540,Penn,11,True,4,3,1,win,758668,254,1314112,2012,4 - 3,,46.0
1,,1.1,,1,1,1,1,1,0,6,4,0,0,0,0,0,0,0,1,0,0,1,,1,2,0,0,1,4,0,03/07/2012,home,10942,255,Georgia Tech,9,True,5,4,1,win,759714,254,1314112,2012,5 - 4,,12.0
1,,1.0,,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,0,0,0,,1,2,0,0,0,3,0,03/10/2012,away,10942,1157,Kennesaw St.,10,True,4,5,-1,loss,760452,254,1314112,2012,4 - 5,,0.0
1,,1.1,,1,2,2,3,2,0,8,5,0,0,0,1,0,0,0,2,1,0,0,,2,0,0,0,0,3,0,03/11/2012,away,10942,1157,Kennesaw St.,9,True,6,7,-1,loss,761069,254,1314112,2012,6 - 7,,0.0
1,,0.1,,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,,0,1,0,0,0,4,0,03/13/2012,home,10942,439,Monmouth,9,True,3,8,-5,loss,761619,254,1314112,2012,3 - 8,,4.0
1,,0.2,,3,3,0,0,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,2,0,03/16/2012,home,10942,500,Northeastern,9,True,13,12,1,win,762383,254,1314112,2012,13 - 12,,19.0
1,,0.1,,1,1,0,1,0,0,3,1,1,0,0,0,0,0,0,1,1,0,1,,0,1,0,0,0,4,0,03/18/2012,home,10942,500,Northeastern,9,True,4,13,-9,loss,763432,254,1314112,2012,4 - 13,,8.0
1,,0.2,,1,1,1,0,1,0,3,3,0,0,1,0,0,0,0,1,1,0,0,,1,0,0,0,0,4,0,03/20/2012,away,10942,7,Alabama St.,9,True,9,14,-5,loss,763845,254,1314112,2012,9 - 14,,11.0
1,,1.2,,2,1,1,1,0,0,8,7,0,0,0,0,0,0,0,1,1,0,0,,3,2,0,0,0,4,0,03/25/2012,home,10942,317,James Madison,9,True,13,15,-2,loss,765568,254,1314112,2012,13 - 15,,31.0
1,,1.0,,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,2,0,02/26/2012,away,10942,6,Alabama A&M,9,True,7,0,7,win,757408,305,998616,2012,7 - 0,,0.0
1,,1.0,,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,2,0,03/03/2012,away,10942,202,Eastern Ky.,9,True,13,6,7,win,758330,305,998616,2012,13 - 6,,15.0
